country,federal_state,ho_capacity_agfw,ho_capacity,net_heat_production_ho_agfw,net_heat_production_chp_agfw,net_heat_production_share,net_dh_demand
,,MW inst,MW inst,TJ,TJ,-,Twh/a
DE,Schleswig-Holstein,1166,2509.26240392741,2258,9558,0.052830424887887,6.10719711703974
DE,Mecklenburg-Vorpommern,811,1745.29314715706,1210,4383,0.025006818415534,2.89078820883573
DE,Hamburg,962,2070.24908454388,2050,10982,0.058267272946763,6.7356967526458
DE,Bremen,444,955.499577481791,687,3275,0.017714467112882,2.04779239824916
DE,Niedersachsen,979,2106.83352782584,868,10755,0.051967504102227,6.00744347421744
DE,Brandenburg,653,1405.27302724236,2075,12645,0.065814476502175,7.60815348365143
DE,Berlin,2527,5438.16989255966,7393,31445,0.173648277064639,20.0737408286723
DE,Sachsen-Anhalt,563,1211.59068045551,387,2407,0.012492231477383,1.44410195878548
DE,Nordrhein-Westfalen,4187,9010.53317773933,5370,23014,0.126907479690064,14.6705046521714
DE,Hessen,1584,3408.80930344855,3509,12852,0.073151538726365,8.4563178767678
DE,Thüringen,443,953.347551406382,1017,5274,0.028127640738803,3.25155526940563
DE,Sachsen,1497,3221.58303488793,1922,18068,0.089377132152071,10.3319964767794
DE,Rheinland-Pfalz,587,1263.23930626534,1173,2470,0.016288188715858,1.88291461555318
DE,Saarland,,0,,,0,0
DE,Baden-Württemberg,1526,3283.99179107481,2357,13695,0.071769971250878,8.2966086766015
DE,Bayern,2327,5007.76467747777,4269,26291,0.136636576216472,15.7951882106242
